Section,Type,Key,English,German
Background Remover,UI String,bgRemover.chooseFile,Choose File,Datei auswählen
Background Remover,UI String,bgRemover.invalidType,"Please upload a PNG, JPG, WebP, or BMP image.","Bitte laden Sie ein PNG-, JPG-, WebP- oder BMP-Bild hoch."
Background Remover,UI String,bgRemover.fileTooLarge,File too large. Maximum size is 25MB.,Datei zu groß. Maximale Größe ist 25 MB.
Background Remover,UI String,bgRemover.privacyNote,AI model runs locally — your files never leave your device,KI-Modell läuft lokal — Ihre Dateien verlassen nie Ihr Gerät
Background Remover,UI String,bgRemover.original,Original,Original
Background Remover,UI String,bgRemover.removed,Removed,Entfernt
Background Remover,UI String,bgRemover.svgLink,Convert to SVG,In SVG konvertieren
Background Remover,UI String,bgRemover.resizeLink,Resize image,Bild skalieren
Background Remover,UI String,bgRemover.removeAnother,Remove another background,Weiteren Hintergrund entfernen
Background Remover,UI String,bgRemover.tryAgain,Try again,Erneut versuchen
Images to PDF,UI String,imagesToPdf.dropTitle,Drop images to convert to PDF,Bilder zum Konvertieren in PDF ablegen
Images to PDF,UI String,imagesToPdf.dropTitleMore,Add more images,Weitere Bilder hinzufügen
Images to PDF,UI String,imagesToPdf.dropSubtitle,"Supports JPG, PNG, WebP, BMP, GIF","Unterstützt JPG, PNG, WebP, BMP, GIF"
Images to PDF,UI String,imagesToPdf.loading,Loading {count} images...,{count} Bilder werden geladen...
Images to PDF,UI String,imagesToPdf.converting,Converting {count} images to PDF...,{count} Bilder werden in PDF konvertiert...
Images to PDF,UI String,imagesToPdf.processing,Processing image {current} of {total}...,Bild {current} von {total} wird verarbeitet...
Images to PDF,UI String,imagesToPdf.conversionError,Conversion failed,Konvertierung fehlgeschlagen
Images to PDF,UI String,imagesToPdf.success,{count} images → PDF ({size}),{count} Bilder → PDF ({size})
Images to PDF,UI String,imagesToPdf.passwordLink,Password protect this PDF,Diese PDF mit Passwort schützen
Images to PDF,UI String,imagesToPdf.splitLink,Split this PDF,Diese PDF aufteilen
Images to PDF,UI String,imagesToPdf.convertMore,Convert more images,Weitere Bilder konvertieren
Images to PDF,UI String,imagesToPdf.tryAgain,Try again,Erneut versuchen
Images to PDF,UI String,imagesToPdf.pageSize,Page Size,Seitengröße
Images to PDF,UI String,imagesToPdf.fitToImage,Fit to Image,An Bild anpassen
Images to PDF,UI String,imagesToPdf.convertButton,Convert {count} Images to PDF →,{count} Bilder in PDF konvertieren →
Images to PDF,UI String,imagesToPdf.convertButtonSingle,Convert 1 Image to PDF →,1 Bild in PDF konvertieren →
Image Base64,UI String,imageBase64.encodeMode,Image → Base64,Bild → Base64
Image Base64,UI String,imageBase64.decodeMode,Base64 → Image,Base64 → Bild
Image Base64,UI String,imageBase64.dropTitle,Drop an image to encode,Bild zum Kodieren ablegen
Image Base64,UI String,imageBase64.dropSubtitle,"Supports JPG, PNG, WebP, GIF, BMP","Unterstützt JPG, PNG, WebP, GIF, BMP"
Image Base64,UI String,imageBase64.change,Change,Ändern
Image Base64,UI String,imageBase64.dataUri,Data URI (with prefix),Data URI (mit Präfix)
Image Base64,UI String,imageBase64.copyRaw,Copy Raw,Roh kopieren
Image Base64,UI String,imageBase64.copyDataUri,Copy Data URI,Data URI kopieren
Image Base64,UI String,imageBase64.copied,✓ Copied!,✓ Kopiert!
Image Base64,UI String,imageBase64.pasteLabel,Paste Base64 string or Data URI,Base64-Zeichenkette oder Data URI einfügen
Image Base64,UI String,imageBase64.decodeButton,Decode Image,Bild dekodieren
Image Base64,UI String,imageBase64.downloadImage,Download Image,Bild herunterladen
Image Base64,UI String,imageBase64.decodeError,Invalid Base64 string. Please check and try again.,Ungültige Base64-Zeichenkette. Bitte überprüfen und erneut versuchen.
OCR,UI String,ocr.dropTitle,Drop an image to extract text,"Bild ablegen, um Text zu extrahieren"
OCR,UI String,ocr.dropSubtitle,"Supports JPG, PNG, WebP, BMP, TIFF","Unterstützt JPG, PNG, WebP, BMP, TIFF"
OCR,UI String,ocr.loadingEngine,Loading OCR engine...,OCR-Engine wird geladen...
OCR,UI String,ocr.recognizing,Recognizing text...,Text wird erkannt...
OCR,UI String,ocr.ocrFailed,OCR failed,OCR fehlgeschlagen
OCR,UI String,ocr.tryAgain,Try again,Erneut versuchen
OCR,UI String,ocr.language,Language,Sprache
OCR,UI String,ocr.change,Change,Ändern
OCR,UI String,ocr.extractButton,Extract Text →,Text extrahieren →
OCR,UI String,ocr.confidence,Confidence: {value}%,Konfidenz: {value}%
OCR,UI String,ocr.copy,Copy,Kopieren
OCR,UI String,ocr.copied,✓ Copied!,✓ Kopiert!
OCR,UI String,ocr.emptyResult,Extracted text will appear here,Extrahierter Text erscheint hier
Coloring Page,UI String,coloringPage.dropTitle,Drop photo to create coloring page,"Foto ablegen, um Malvorlage zu erstellen"
Coloring Page,UI String,coloringPage.dropSubtitle,"PNG, JPG, WebP, BMP • Max 25MB","PNG, JPG, WebP, BMP • Max 25 MB"
Coloring Page,UI String,coloringPage.chooseFile,Choose File,Datei auswählen
Coloring Page,UI String,coloringPage.invalidType,"Please upload a PNG, JPG, WebP, or BMP image.","Bitte laden Sie ein PNG-, JPG-, WebP- oder BMP-Bild hoch."
Coloring Page,UI String,coloringPage.fileTooLarge,File too large. Maximum size is 25MB.,Datei zu groß. Maximale Größe ist 25 MB.
Coloring Page,UI String,coloringPage.processing,Processing image...,Bild wird verarbeitet...
Coloring Page,UI String,coloringPage.privacyNote,All processing happens locally — files never leave your device,Alle Verarbeitung erfolgt lokal — Dateien verlassen nie Ihr Gerät
Coloring Page,UI String,coloringPage.processingError,Processing failed,Verarbeitung fehlgeschlagen
Coloring Page,UI String,coloringPage.generateError,Failed to generate coloring page,Malvorlage konnte nicht erstellt werden
Coloring Page,UI String,coloringPage.sensitivity,Edge Sensitivity,Kantenerkennung
Coloring Page,UI String,coloringPage.lineThickness,Line Thickness,Linienstärke
Coloring Page,UI String,coloringPage.smoothing,Smoothing,Glättung
Coloring Page,UI String,coloringPage.original,Original,Original
Coloring Page,UI String,coloringPage.preview,Coloring Page,Malvorlage
Coloring Page,UI String,coloringPage.adjustHint,Adjust sliders to fine-tune the result,"Schieberegler anpassen, um das Ergebnis zu optimieren"
Coloring Page,UI String,coloringPage.downloadButton,Download Coloring Page →,Malvorlage herunterladen →
Coloring Page,UI String,coloringPage.startOver,Start over,Neu beginnen
Coloring Page,UI String,coloringPage.svgLink,Convert to SVG,In SVG konvertieren
Coloring Page,UI String,coloringPage.bgLink,Remove background,Hintergrund entfernen
Coloring Page,UI String,coloringPage.compressLink,Compress image,Bild komprimieren
Coloring Page,UI String,coloringPage.createAnother,Create another coloring page,Weitere Malvorlage erstellen
Coloring Page,UI String,coloringPage.tryAgain,Try again,Erneut versuchen
Pricing Page,UI String,pricing.label,Pricing,Preise
Pricing Page,UI String,pricing.title,Free. Unlimited.,Kostenlos. Unbegrenzt.
Pricing Page,UI String,pricing.titleLine2,No Catch.,Kein Haken.
Pricing Page,UI String,pricing.subtitle,Every tool runs locally on your device using WebAssembly and WebGPU. That means it costs us nothing to run — so we pass that on to you.,"Jedes Tool läuft lokal auf Ihrem Gerät mit WebAssembly und WebGPU. Das bedeutet, es kostet uns nichts — also geben wir das an Sie weiter."
Pricing Page,UI String,pricing.currentPlan,Current Plan,Aktueller Tarif
Pricing Page,UI String,pricing.planName,Free,Kostenlos
Pricing Page,UI String,pricing.priceValue,$0,0 €
Pricing Page,UI String,pricing.pricePeriod,/ forever,/ für immer
Pricing Page,UI String,pricing.feature1,All {count} tools — unlimited use,Alle {count} Tools — unbegrenzte Nutzung
Pricing Page,UI String,pricing.feature2,No file size limits,Keine Dateigrößenlimits
Pricing Page,UI String,pricing.feature3,No account required,Kein Konto erforderlich
Pricing Page,UI String,pricing.feature4,100% private — files never uploaded,100 % privat — Dateien werden nie hochgeladen
Pricing Page,UI String,pricing.feature5,No watermarks,Keine Wasserzeichen
Pricing Page,UI String,pricing.feature6,No ads,Keine Werbung
Pricing Page,UI String,pricing.cta,Start Using Tools →,Tools jetzt nutzen →
Pricing Page,UI String,pricing.proTitle,Pro Plan,Pro-Tarif
Pricing Page,UI String,pricing.proDesc,"Cloud AI features — premium vectorization, AI-powered image upscaling, batch processing, and more — are coming soon.","Cloud-KI-Funktionen — Premium-Vektorisierung, KI-gestützte Bildvergrößerung, Stapelverarbeitung und mehr — kommen bald."
Pricing Page,UI String,pricing.proBadge,Coming 2026,Kommt 2026
Pricing Page,UI String,pricing.whatsIncluded,What's Included,Was enthalten ist
Privacy Page,UI String,privacy.label,Privacy,Datenschutz
Privacy Page,UI String,privacy.title,Your Files Never Leave Your Device.,Ihre Dateien verlassen nie Ihr Gerät.
Privacy Page,UI String,privacy.zeroUploadTitle,Zero-Upload Architecture,Zero-Upload-Architektur
Privacy Page,UI String,privacy.zeroUploadP1,BestOnline.Tools is built on a fundamentally different architecture than most online conversion tools. Every tool on this platform runs entirely in your browser using WebAssembly (WASM) and WebGPU technology.,BestOnline.Tools basiert auf einer grundlegend anderen Architektur als die meisten Online-Konvertierungstools. Jedes Tool auf dieser Plattform läuft vollständig in Ihrem Browser mit WebAssembly (WASM) und WebGPU-Technologie.
Privacy Page,UI String,privacy.zeroUploadP2,"When you drop a file into any of our tools, it is processed by your own device's CPU and GPU. At no point is your file uploaded to our servers or any third-party server. We physically cannot see, access, or store your files.","Wenn Sie eine Datei in eines unserer Tools ziehen, wird sie von der CPU und GPU Ihres eigenen Geräts verarbeitet. Zu keinem Zeitpunkt wird Ihre Datei auf unsere Server oder Server von Drittanbietern hochgeladen. Wir können Ihre Dateien physisch nicht sehen, darauf zugreifen oder speichern."
Privacy Page,UI String,privacy.whatThisMeansTitle,What This Means For You,Was das für Sie bedeutet
Privacy Page,UI String,privacy.completePrivacy,Complete Privacy,Vollständige Privatsphäre
Privacy Page,UI String,privacy.completePrivacyDesc,"Confidential documents, personal photos, sensitive audio — process anything without worry. Your data stays on your machine.","Vertrauliche Dokumente, persönliche Fotos, sensible Audiodateien — verarbeiten Sie alles ohne Sorgen. Ihre Daten bleiben auf Ihrem Gerät."
Privacy Page,UI String,privacy.noDataCollection,No Data Collection,Keine Datenerfassung
Privacy Page,UI String,privacy.noDataCollectionDesc,"We do not collect, store, or transmit any file data. Not metadata, not thumbnails, not file names. Nothing.","Wir erfassen, speichern oder übertragen keine Dateidaten. Keine Metadaten, keine Miniaturansichten, keine Dateinamen. Nichts."
Privacy Page,UI String,privacy.offlineCapable,Offline Capable,Offline nutzbar
Privacy Page,UI String,privacy.offlineCapableDesc,"Once a tool loads, it works without internet. Process files on a plane, behind a firewall, or in any restricted environment.","Sobald ein Tool geladen ist, funktioniert es ohne Internet. Verarbeiten Sie Dateien im Flugzeug, hinter einer Firewall oder in jeder eingeschränkten Umgebung."
Privacy Page,UI String,privacy.analyticsTitle,Analytics & Cookies,Analyse & Cookies
Privacy Page,UI String,privacy.analyticsP1,We use Google Analytics (GA4) to understand which tools are most popular and how users navigate the site. This helps us prioritize development and improve the user experience.,"Wir verwenden Google Analytics (GA4), um zu verstehen, welche Tools am beliebtesten sind und wie Benutzer die Website navigieren. Dies hilft uns, die Entwicklung zu priorisieren und die Benutzererfahrung zu verbessern."
Privacy Page,UI String,privacy.analyticsP2,Google Analytics collects:,Google Analytics erfasst:
Privacy Page,UI String,privacy.analyticsBullet1,Page views and navigation patterns,Seitenaufrufe und Navigationsmuster
Privacy Page,UI String,privacy.analyticsBullet2,Tool usage frequency (which tools are opened),Nutzungshäufigkeit der Tools (welche Tools geöffnet werden)
Privacy Page,UI String,privacy.analyticsBullet3,"General device information (browser type, screen size)","Allgemeine Geräteinformationen (Browsertyp, Bildschirmgröße)"
Privacy Page,UI String,privacy.analyticsBullet4,Approximate geographic region,Ungefähre geografische Region
Privacy Page,UI String,privacy.analyticsP3,Google Analytics does NOT have access to:,Google Analytics hat KEINEN Zugriff auf:
Privacy Page,UI String,privacy.analyticsNoBullet1,Your files or file contents,Ihre Dateien oder Dateiinhalte
Privacy Page,UI String,privacy.analyticsNoBullet2,File names or metadata,Dateinamen oder Metadaten
Privacy Page,UI String,privacy.analyticsNoBullet3,Any data processed by our tools,Jegliche von unseren Tools verarbeitete Daten
Privacy Page,UI String,privacy.analyticsP4,"We also use a locale preference cookie to remember your language selection. This cookie is stored locally and contains only your two-letter language code (e.g., ""en"" or ""de"").","Wir verwenden auch einen Spracheinstellungs-Cookie, um Ihre Sprachauswahl zu speichern. Dieser Cookie wird lokal gespeichert und enthält nur Ihren zweibuchstabigen Sprachcode (z.B. „en"" oder „de"")."
Privacy Page,UI String,privacy.techTitle,Technologies That Power Our Privacy,"Technologien, die unseren Datenschutz antreiben"
Privacy Page,UI String,privacy.wasmTitle,WebAssembly,WebAssembly
Privacy Page,UI String,privacy.wasmDesc,"Compiled code that runs at near-native speed in your browser. Powers PDF, image, and audio processing entirely on your device.","Kompilierter Code, der mit nahezu nativer Geschwindigkeit in Ihrem Browser läuft. Treibt PDF-, Bild- und Audioverarbeitung vollständig auf Ihrem Gerät an."
Privacy Page,UI String,privacy.webgpuTitle,WebGPU,WebGPU
Privacy Page,UI String,privacy.webgpuDesc,GPU-accelerated computing in the browser. Powers AI features like background removal and speech recognition — all on your device's graphics card.,GPU-beschleunigte Berechnungen im Browser. Treibt KI-Funktionen wie Hintergrundentfernung und Spracherkennung an — alles auf der Grafikkarte Ihres Geräts.
Privacy Page,UI String,privacy.canvasTitle,Canvas API,Canvas-API
Privacy Page,UI String,privacy.canvasDesc,"Browser-native image manipulation. Format conversion, resizing, and compression happen through standard web APIs with zero server calls.","Browser-native Bildbearbeitung. Formatkonvertierung, Größenänderung und Komprimierung erfolgen über Standard-Web-APIs ohne jegliche Serveraufrufe."
Privacy Page,UI String,privacy.contactTitle,Contact,Kontakt
Privacy Page,UI String,privacy.contactP1,Questions about privacy? Contact us at privacy@bestonline.tools.,Fragen zum Datenschutz? Kontaktieren Sie uns unter privacy@bestonline.tools.
Privacy Page,UI String,privacy.lastUpdated,Last Updated,Zuletzt aktualisiert
Audio Converter,UI String,audioConverter.dropTitle,Drop audio to convert,Audio zum Konvertieren ablegen
Audio Converter,UI String,audioConverter.dropTitleReplace,Replace audio file,Audiodatei ersetzen
Audio Converter,UI String,audioConverter.dropSubtitle,"MP3, WAV, OGG, FLAC, AAC • Max 100MB","MP3, WAV, OGG, FLAC, AAC • Max 100 MB"
Audio Converter,UI String,audioConverter.chooseFile,Choose File,Datei auswählen
Audio Converter,UI String,audioConverter.unsupportedFormat,"Unsupported audio format. Try MP3, WAV, OGG, FLAC, or AAC.","Nicht unterstütztes Audioformat. Versuchen Sie MP3, WAV, OGG, FLAC oder AAC."
Audio Converter,UI String,audioConverter.fileTooLarge,File too large. Maximum size is 100MB.,Datei zu groß. Maximale Größe ist 100 MB.
Audio Converter,UI String,audioConverter.loadingEngine,Loading audio engine...,Audio-Engine wird geladen...
Audio Converter,UI String,audioConverter.loadingNote,Audio engine loads once (~30MB) — all processing stays local,Audio-Engine wird einmal geladen (~30 MB) — alle Verarbeitung bleibt lokal
Audio Converter,UI String,audioConverter.converting,Converting audio...,Audio wird konvertiert...
Audio Converter,UI String,audioConverter.convertingTo,Converting to {format}...,Wird in {format} konvertiert...
Audio Converter,UI String,audioConverter.convertingNote,Converting locally — your files never leave your device,Lokale Konvertierung — Ihre Dateien verlassen nie Ihr Gerät
Audio Converter,UI String,audioConverter.success,Audio converted to {format},Audio in {format} konvertiert
Audio Converter,UI String,audioConverter.original,Original,Original
Audio Converter,UI String,audioConverter.converted,Converted,Konvertiert
Audio Converter,UI String,audioConverter.smaller,Smaller,Kleiner
Audio Converter,UI String,audioConverter.convertAnother,Convert another file,Weitere Datei konvertieren
Audio Converter,UI String,audioConverter.tryAgain,Try again,Erneut versuchen
Audio Converter,UI String,audioConverter.outputFormat,Output Format,Ausgabeformat
Audio Converter,UI String,audioConverter.bitrate,Bitrate,Bitrate
Audio Converter,UI String,audioConverter.trim,Trim (optional),Zuschneiden (optional)
Audio Converter,UI String,audioConverter.trimTo,to,bis
Audio Converter,UI String,audioConverter.trimSeconds,seconds,Sekunden
Audio Converter,UI String,audioConverter.convertButton,Convert to {format} →,In {format} konvertieren →
Speech to Text,UI String,speechToText.dropTitle,Drop audio to transcribe,Audio zum Transkribieren ablegen
Speech to Text,UI String,speechToText.dropSubtitle,"MP3, WAV, OGG, FLAC, M4A • Max 100MB","MP3, WAV, OGG, FLAC, M4A • Max 100 MB"
Speech to Text,UI String,speechToText.chooseFile,Choose File,Datei auswählen
Speech to Text,UI String,speechToText.privacyNote,Whisper AI runs locally — your audio never leaves your device,Whisper-KI läuft lokal — Ihr Audio verlässt nie Ihr Gerät
Speech to Text,UI String,speechToText.transcript,Transcript,Transkript
Speech to Text,UI String,speechToText.noSpeech,No speech detected,Keine Sprache erkannt
Speech to Text,UI String,speechToText.timestamps,Timestamps,Zeitstempel
Speech to Text,UI String,speechToText.copyText,Copy Text,Text kopieren
Speech to Text,UI String,speechToText.copied,✓ Copied,✓ Kopiert
Speech to Text,UI String,speechToText.downloadTxt,Download .TXT,.TXT herunterladen
Speech to Text,UI String,speechToText.downloadSrt,Download .SRT,.SRT herunterladen
Speech to Text,UI String,speechToText.transcribeAnother,Transcribe another file,Weitere Datei transkribieren
Speech to Text,UI String,speechToText.tryAgain,Try again,Erneut versuchen
Video to GIF,UI String,videoToGif.dropTitle,Drop a video to convert to GIF,Video zum Konvertieren in GIF ablegen
Video to GIF,UI String,videoToGif.dropSubtitle,"Supports MP4, WebM, MOV, AVI · Max 200MB","Unterstützt MP4, WebM, MOV, AVI · Max 200 MB"
Video to GIF,UI String,videoToGif.fileTooLarge,File too large. Maximum 200MB.,Datei zu groß. Maximum 200 MB.
Video to GIF,UI String,videoToGif.loadingEngine,Loading video engine...,Video-Engine wird geladen...
Video to GIF,UI String,videoToGif.converting,Converting to GIF...,Wird in GIF konvertiert...
Video to GIF,UI String,videoToGif.success,GIF created — {size},GIF erstellt — {size}
Video to GIF,UI String,videoToGif.convertAnother,Convert another video,Weiteres Video konvertieren
Video to GIF,UI String,videoToGif.tryAgain,Try again,Erneut versuchen
Video to GIF,UI String,videoToGif.settingsTitle,GIF Settings,GIF-Einstellungen
Video to GIF,UI String,videoToGif.startTime,Start Time,Startzeit
Video to GIF,UI String,videoToGif.endTime,End Time,Endzeit
Video to GIF,UI String,videoToGif.duration,duration: {value}s,Dauer: {value}s
Video to GIF,UI String,videoToGif.fps,FPS,FPS
Video to GIF,UI String,videoToGif.fps10,10 fps (smaller file),10 fps (kleinere Datei)
Video to GIF,UI String,videoToGif.fps15,15 fps (balanced),15 fps (ausgewogen)
Video to GIF,UI String,videoToGif.fps20,20 fps (smoother),20 fps (flüssiger)
Video to GIF,UI String,videoToGif.fps25,25 fps (high quality),25 fps (hohe Qualität)
Video to GIF,UI String,videoToGif.widthPx,Width (px),Breite (px)
Video to GIF,UI String,videoToGif.width320,320px (small),320px (klein)
Video to GIF,UI String,videoToGif.width480,480px (medium),480px (mittel)
Video to GIF,UI String,videoToGif.width640,640px (large),640px (groß)
Video to GIF,UI String,videoToGif.width800,800px (HD),800px (HD)
Video to GIF,UI String,videoToGif.changeVideo,Change video,Video ändern
Video to GIF,UI String,videoToGif.convertButton,Convert to GIF →,In GIF konvertieren →
Text to PDF,UI String,textToPdf.placeholder,Type or paste your text here...,Text hier eingeben oder einfügen...
Text to PDF,UI String,textToPdf.font,Font,Schriftart
Text to PDF,UI String,textToPdf.courierMono,Courier (Monospace),Courier (Monospace)
Text to PDF,UI String,textToPdf.size,Size,Größe
Text to PDF,UI String,textToPdf.success,PDF created successfully,PDF erfolgreich erstellt
Text to PDF,UI String,textToPdf.convertMore,Convert more text,Weiteren Text konvertieren
Text to PDF,UI String,textToPdf.convertButton,Convert to PDF →,In PDF konvertieren →
Word Counter,UI String,wordCounter.words,Words,Wörter
Word Counter,UI String,wordCounter.characters,Characters,Zeichen
Word Counter,UI String,wordCounter.noSpaces,No Spaces,Ohne Leerzeichen
Word Counter,UI String,wordCounter.sentences,Sentences,Sätze
Word Counter,UI String,wordCounter.paragraphs,Paragraphs,Absätze
Word Counter,UI String,wordCounter.readTime,Read Time,Lesezeit
Word Counter,UI String,wordCounter.speakTime,Speak Time,Sprechzeit
Word Counter,UI String,wordCounter.placeholder,Start typing or paste your text here...,Text hier eingeben oder einfügen...
Word Counter,UI String,wordCounter.clear,Clear,Löschen
Word Counter,UI String,wordCounter.copyText,Copy Text,Text kopieren
Password Generator,UI String,passwordGen.copied,✓ Copied!,✓ Kopiert!
Password Generator,UI String,passwordGen.copy,Copy,Kopieren
Password Generator,UI String,passwordGen.generate,↻ Generate,↻ Generieren
Password Generator,UI String,passwordGen.weak,Weak,Schwach
Password Generator,UI String,passwordGen.fair,Fair,Mittel
Password Generator,UI String,passwordGen.good,Good,Gut
Password Generator,UI String,passwordGen.strong,Strong,Stark
Password Generator,UI String,passwordGen.length,Length: {value},Länge: {value}
Password Generator,UI String,passwordGen.uppercase,ABC,ABC
Password Generator,UI String,passwordGen.lowercase,abc,abc
Password Generator,UI String,passwordGen.numbers,123,123
Password Generator,UI String,passwordGen.symbols,!@#,!@#
URL Encoder,UI String,urlEncoder.encode,Encode,Kodieren
URL Encoder,UI String,urlEncoder.decode,Decode,Dekodieren
URL Encoder,UI String,urlEncoder.input,Input,Eingabe
URL Encoder,UI String,urlEncoder.output,Output,Ausgabe
URL Encoder,UI String,urlEncoder.copy,Copy,Kopieren
URL Encoder,UI String,urlEncoder.copied,✓,✓
URL Encoder,UI String,urlEncoder.encodeButton,Encode →,Kodieren →
URL Encoder,UI String,urlEncoder.decodeButton,Decode →,Dekodieren →
URL Encoder,UI String,urlEncoder.decodeError,Error: Invalid input for decoding,Fehler: Ungültige Eingabe zum Dekodieren
QR Code,UI String,qrCode.typeUrl,URL,URL
QR Code,UI String,qrCode.typeText,Text,Text
QR Code,UI String,qrCode.typeWifi,WiFi,WLAN
QR Code,UI String,qrCode.urlLabel,URL,URL
QR Code,UI String,qrCode.textLabel,Text,Text
QR Code,UI String,qrCode.textPlaceholder,Enter any text...,Beliebigen Text eingeben...
QR Code,UI String,qrCode.ssid,Network Name (SSID),Netzwerkname (SSID)
QR Code,UI String,qrCode.password,Password,Passwort
QR Code,UI String,qrCode.passwordPlaceholder,Enter WiFi password,WLAN-Passwort eingeben
QR Code,UI String,qrCode.encryption,Encryption,Verschlüsselung
QR Code,UI String,qrCode.encryptionNone,None,Keine
QR Code,UI String,qrCode.size,Size,Größe
QR Code,UI String,qrCode.colors,Colors,Farben
QR Code,UI String,qrCode.colorCode,Code,Code
QR Code,UI String,qrCode.colorBg,BG,HG
QR Code,UI String,qrCode.enterContent,Please enter content for the QR code.,Bitte Inhalt für den QR-Code eingeben.
QR Code,UI String,qrCode.downloadPng,Download PNG,PNG herunterladen
QR Code,UI String,qrCode.downloadSvg,Download SVG,SVG herunterladen
QR Code,UI String,qrCode.svgError,Failed to generate SVG,SVG konnte nicht generiert werden
Color Picker,UI String,colorPicker.copy,Copy,Kopieren
Color Picker,UI String,colorPicker.copied,✓,✓
CSV/JSON Converter,UI String,csvJson.csvToJson,CSV → JSON,CSV → JSON
CSV/JSON Converter,UI String,csvJson.jsonToCsv,JSON → CSV,JSON → CSV
CSV/JSON Converter,UI String,csvJson.csvInput,CSV Input,CSV-Eingabe
CSV/JSON Converter,UI String,csvJson.jsonInput,JSON Input,JSON-Eingabe
CSV/JSON Converter,UI String,csvJson.jsonOutput,JSON Output,JSON-Ausgabe
CSV/JSON Converter,UI String,csvJson.csvOutput,CSV Output,CSV-Ausgabe
CSV/JSON Converter,UI String,csvJson.copy,Copy,Kopieren
CSV/JSON Converter,UI String,csvJson.copied,✓,✓
CSV/JSON Converter,UI String,csvJson.convertButton,Convert →,Konvertieren →
Diff Checker,UI String,diffChecker.original,Original,Original
Diff Checker,UI String,diffChecker.changed,Changed,Geändert
Diff Checker,UI String,diffChecker.originalPlaceholder,Paste original text...,Originaltext einfügen...
Diff Checker,UI String,diffChecker.changedPlaceholder,Paste changed text...,Geänderten Text einfügen...
Diff Checker,UI String,diffChecker.compare,Compare,Vergleichen
Diff Checker,UI String,diffChecker.added,+{count} added,+{count} hinzugefügt
Diff Checker,UI String,diffChecker.removed,−{count} removed,−{count} entfernt
Diff Checker,UI String,diffChecker.unchanged,{count} unchanged,{count} unverändert
Hash Generator,UI String,hashGenerator.placeholder,Type or paste text to hash...,Text zum Hashen eingeben oder einfügen...
Hash Generator,UI String,hashGenerator.generate,Generate Hashes,Hashes generieren
Hash Generator,UI String,hashGenerator.copy,Copy,Kopieren
Hash Generator,UI String,hashGenerator.copied,✓,✓
JSON Formatter,UI String,jsonFormatter.inputJson,Input JSON,JSON-Eingabe
JSON Formatter,UI String,jsonFormatter.output,Output,Ausgabe
JSON Formatter,UI String,jsonFormatter.copy,Copy,Kopieren
JSON Formatter,UI String,jsonFormatter.copied,✓,✓
JSON Formatter,UI String,jsonFormatter.indent,Indent,Einrückung
JSON Formatter,UI String,jsonFormatter.twoSpaces,2 spaces,2 Leerzeichen
JSON Formatter,UI String,jsonFormatter.fourSpaces,4 spaces,4 Leerzeichen
JSON Formatter,UI String,jsonFormatter.tab,Tab,Tab
JSON Formatter,UI String,jsonFormatter.format,Format,Formatieren
JSON Formatter,UI String,jsonFormatter.minify,Minify,Minifizieren
Lorem Ipsum,UI String,loremIpsum.type,Type,Typ
Lorem Ipsum,UI String,loremIpsum.paragraphs,Paragraphs,Absätze
Lorem Ipsum,UI String,loremIpsum.sentences,Sentences,Sätze
Lorem Ipsum,UI String,loremIpsum.words,Words,Wörter
Lorem Ipsum,UI String,loremIpsum.count,Count,Anzahl
Lorem Ipsum,UI String,loremIpsum.generate,Generate,Generieren
Lorem Ipsum,UI String,loremIpsum.meta,{words} words · {chars} chars,{words} Wörter · {chars} Zeichen
Lorem Ipsum,UI String,loremIpsum.copy,Copy,Kopieren
Lorem Ipsum,UI String,loremIpsum.copied,✓ Copied!,✓ Kopiert!
Markdown/HTML,UI String,markdownHtml.mdToHtml,Markdown → HTML,Markdown → HTML
Markdown/HTML,UI String,markdownHtml.htmlToMd,HTML → Markdown,HTML → Markdown
Markdown/HTML,UI String,markdownHtml.markdown,Markdown,Markdown
Markdown/HTML,UI String,markdownHtml.html,HTML,HTML
Markdown/HTML,UI String,markdownHtml.copy,Copy,Kopieren
Markdown/HTML,UI String,markdownHtml.copied,✓,✓
Markdown/HTML,UI String,markdownHtml.convertButton,Convert →,Konvertieren →
Regex Tester,UI String,regexTester.patternPlaceholder,your regex here,Ihr Regex hier
Regex Tester,UI String,regexTester.flagsPlaceholder,gi,gi
Regex Tester,UI String,regexTester.testPlaceholder,Enter test string...,Testzeichenkette eingeben...
Regex Tester,UI String,regexTester.matchCount,{count} match,{count} Treffer
Regex Tester,UI String,regexTester.matchCountPlural,{count} matches,{count} Treffer
Base64 Text,UI String,base64Text.encode,Encode,Kodieren
Base64 Text,UI String,base64Text.decode,Decode,Dekodieren
Base64 Text,UI String,base64Text.plainText,Plain Text,Klartext
Base64 Text,UI String,base64Text.base64String,Base64 String,Base64-Zeichenkette
Base64 Text,UI String,base64Text.base64Output,Base64 Output,Base64-Ausgabe
Base64 Text,UI String,base64Text.decodedText,Decoded Text,Dekodierter Text
Base64 Text,UI String,base64Text.copy,Copy,Kopieren
Base64 Text,UI String,base64Text.copied,✓,✓
Base64 Text,UI String,base64Text.encodeButton,Encode →,Kodieren →
Base64 Text,UI String,base64Text.decodeButton,Decode →,Dekodieren →
Base64 Text,UI String,base64Text.invalidBase64,Invalid Base64 string,Ungültige Base64-Zeichenkette
Base64 Text,UI String,base64Text.encodingFailed,Encoding failed,Kodierung fehlgeschlagen
